itemId,itemNm,brandNm,displayPrc,strikeOutPrc,siteNm,salestrNm,itemLnkd,itemImgUrl,itemOrdQty,itemOrdQtyTxt,page
1000055506443,[농협안심한우/한돈][~45%] 1등급 한우 구이 불고기 /한돈  삼겹살 목살 外 한우 한돈 전품목 특가,농협안심한우,9499,,,S.COM몰,https://www.ssg.com/item/dealItemView.ssg?itemId=1000055506443&siteNo=6001&salestrNo=6005,https://sitem.ssgcdn.com/43/64/50/item/1000055506443_i1_500.jpg,0,주목할만한 상품,7
1000715641328,반팔티셔츠/니트/아우터 외 SS 베스트 상품,커스텀멜로우,127075,,신세계백화점,본점,https://www.ssg.com/item/dealItemView.ssg?itemId=1000715641328&siteNo=6009&salestrNo=1002,https://sitem.ssgcdn.com/28/13/64/item/1000715641328_i1_500.jpg,0,주목할만한 상품,7
1000621494101,피스타치오&말차 인기과자간식 쓱배송,,7980,,이마트,월계점,https://www.ssg.com/item/dealItemView.ssg?itemId=1000621494101&siteNo=6001&salestrNo=2037,https://sitem.ssgcdn.com/01/41/49/item/1000621494101_i1_500.jpg,1041,주목할만한 상품,7
1000753712605,[본사 무료배송] 햇반 특가 (백미/잡곡밥/솥반/컵반),CJ제일제당,19900,,,S.COM몰,https://www.ssg.com/item/dealItemView.ssg?itemId=1000753712605&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/05/26/71/item/1000753712605_i1_500.jpg,2352,주목할만한 상품,7
1000727068268,에브리라이프 밴드형 기저귀 특가찬스,,5900,,,emart NE.O.004,https://www.ssg.com/item/dealItemView.ssg?itemId=1000727068268&siteNo=7009&salestrNo=2551,https://sitem.ssgcdn.com/68/82/06/item/1000727068268_i1_500.jpg,667,주목할만한 상품,7
1000042232014,지금 가장 사랑받는 여성 신상품!,마시모두띠,199000,,,S.COM몰,https://www.ssg.com/item/dealItemView.ssg?itemId=1000042232014&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/14/20/23/item/1000042232014_i1_500.jpg,0,주목할만한 상품,7
1000818903061,블라썸위크 할인행사 (배너클릭/응모필수),풀무원,9980,,이마트,월계점,https://www.ssg.com/item/dealItemView.ssg?itemId=1000818903061&siteNo=6001&salestrNo=2037,https://sitem.ssgcdn.com/61/30/90/item/1000818903061_i1_500.jpg,40270,주목할만한 상품,7
1000062593438,[공식] 페라가모 가정의달 BEST 아이템 기프트 추천,페라가모,1510500,,신세계백화점,,https://department.ssg.com/item/dealItemView.ssg?itemId=1000062593438&siteNo=6009&salestrNo=1002&itemSsgCollectYn=N,https://sitem.ssgcdn.com/38/34/59/item/1000062593438_i1_500.jpg,0,주목할만한 상품,7
1000796082921,[담터직영][쓱머니추가적립]호두 아몬드 마밤 율무차 130T,담터,28900,,,S.COM몰,https://www.ssg.com/item/itemView.ssg?itemId=1000796082921&siteNo=6001&salestrNo=6005,https://sitem.ssgcdn.com/21/29/08/item/1000796082921_i1_500.jpg,0,주목할만한 상품,7
1000335740914,아이콘 코튼 모달  외 제품 ~30% 할인,Calvin Klein Underwear,67320,,신세계백화점,본점,https://www.ssg.com/item/dealItemView.ssg?itemId=1000335740914&siteNo=6009&salestrNo=1002,https://sitem.ssgcdn.com/14/09/74/item/1000335740914_i1_500.jpg,741,주목할만한 상품,7
